Collection,paloaltonetworks.panos,,,
Installation,ansible-galaxy collection install paloaltonetworks.panos,,,
Source,https://galaxy.ansible.com/ui/repo/published/paloaltonetworks/panos/docs/,,,
,,,,
Modules,Description,,,
panos_active_in_ha,Checks if node is an active node in HA pair.,,,
panos_address_group,Manage address group objects on PAN-OS devices.,,,
panos_address_object,Manage address objects on PAN-OS devices.,,,
panos_admin,Manage PAN-OS administrator user accounts.,,,
panos_administrator,Manage PAN-OS administrator user accounts.,,,
panos_admpwd,change admin password of PAN-OS device using SSH with SSH key,,,
panos_aggregate_interface,Manage aggregate network interfaces,,,
panos_api_key,retrieve api_key for username/password combination,,,
panos_application_filter,Manage application filters on PAN-OS devices.,,,
panos_application_group,Manage application groups on PAN-OS devices.,,,
panos_application_object,Manage application objects on PAN-OS devices.,,,
panos_bgp,Use BGP to publish and consume routes from disparate networks.,,,
panos_bgp_aggregate,Manage a BGP Aggregation Prefix Policy,,,
panos_bgp_auth,Manage a BGP Authentication Profile,,,
panos_bgp_conditional_advertisement,Manage a BGP conditional advertisement.,,,
panos_bgp_dampening,Manage a BGP Dampening Profile,,,
panos_bgp_peer,Manage a BGP Peer,,,
panos_bgp_peer_group,Manage a BGP Peer Group,,,
panos_bgp_policy_filter,Manage a BGP Policy Import/Export Rule,,,
panos_bgp_policy_rule,Manage a BGP Policy Import/Export Rule,,,
panos_bgp_redistribute,Manage a BGP Redistribution Rule,,,
panos_cert_gen_ssh,generates a self-signed certificate using SSH protocol with SSH key,,,
panos_check,Checks is a PAN-OS device is ready for configuration.,,,
panos_commit,Commit the firewall's candidate configuration.,,,
panos_commit_firewall,Commit the firewall's candidate configuration.,,,
panos_commit_panorama,Commit Panorama's candidate configuration.,,,
panos_commit_push,Push running configuration to managed devices.,,,
panos_config_element,Modifies an element in the PAN-OS configuration.,,,
panos_custom_url_category,Manage custom url category objects on PAN-OS devices.,,,
panos_dag,Manage address group objects on PAN-OS devices.,,,
panos_dag_tags,Register IP addresses for use with dynamic address groups on PAN-OS devices.,,,
panos_decryption_rule,Manage a decryption rule on PAN-OS.,,,
panos_device_group,Manage Panorama device group,,,
panos_dhcp,Manage DHCP for an interface.,,,
panos_dhcp_relay,Manage dhcp relay.,,,
panos_dhcp_relay_ipv6_address,Manage DHCP IPv6 relay addresses.,,,
panos_dynamic_updates,Install dynamic updates on PAN-OS devices.,,,
panos_dynamic_user_group,Manage dynamic user groups on PAN-OS devices.,,,
panos_edl,Manage external dynamic lists on PAN-OS devices.,,,
panos_email_profile,Manage email server profiles.,,,
panos_email_server,Manage email servers in an email profile.,,,
panos_export,export file from PAN-OS devices,,,
panos_facts,Collects facts from PAN-OS devices,,,
panos_gre_tunnel,Manage GRE tunnels on PAN-OS devices.,,,
panos_ha,Manage High Availability on PAN-OS,,,
panos_http_profile,Manage http server profiles.,,,
panos_http_profile_header,Manage HTTP headers for a HTTP profile.,,,
panos_http_profile_param,Manage HTTP params for a HTTP profile.,,,
panos_http_server,Manage HTTP servers in a HTTP server profile,,,
panos_ike_crypto_profile,Manage IKE Crypto profile on the firewall with subset of settings,,,
panos_ike_gateway,Manage IKE gateway on the firewall with subset of settings.,,,
panos_import,import file on PAN-OS devices,,,
panos_interface,Manage data-port network interfaces,,,
panos_ipsec_ipv4_proxyid,Manage IPv4 Proxy Id on an IPSec Tunnel,,,
panos_ipsec_profile,Manage IPSec Crypto profile on the firewall with subset of settings.,,,
panos_ipsec_tunnel,Manage IPSec Tunnels on the firewall with subset of settings.,,,
panos_ipv6_address,Manage IPv6 addresses on an interface.,,,
panos_l2_subinterface,Manage a layer2 subinterface.,,,
panos_l3_subinterface,Manage a layer3 subinterface.,,,
panos_lic,apply authcode to a device/instance,,,
panos_loadcfg,load configuration on PAN-OS device,,,
panos_log_forwarding_profile,Manage log forwarding profiles.,,,
panos_log_forwarding_profile_match_list,Manage log forwarding profile match lists,,,
panos_log_forwarding_profile_match_list_action,Manage log forwarding profile match list actions.,,,
panos_loopback_interface,Manage network loopback interfaces,,,
panos_management_profile,Manage interface management profiles.,,,
panos_match_rule,Test for match against a security rule on PAN-OS devices.,,,
panos_mgtconfig,Module used to configure some of the device management.,,,
panos_nat_rule,Manage a NAT rule,,,
panos_nat_rule2,Manage a NAT rule,,,
panos_nat_rule_facts,Get information about a NAT rule.,,,
panos_object,Manage address objects on PAN-OS devices.,,,
panos_object_facts,Retrieve facts about objects on PAN-OS devices.,,,
panos_op,execute arbitrary OP commands on PANW devices (e.g. show interface all),,,
panos_pbf_rule,Manage Policy Based Forwarding rules on PAN-OS.,,,
panos_pg,Manage a security profiles group,,,
panos_query_rules,Test for match against a security rule on PAN-OS devices.,,,
panos_readiness_checks,Runs readiness checks (boolean in nature) against a Firewall device.,,,
panos_redistribution,Manage a Redistribution Profile on a virtual router.,,,
panos_region,Manage regions on PAN-OS devices.,,,
panos_registered_ip,Register IP addresses for use with dynamic address groups on PAN-OS devices.,,,
panos_registered_ip_facts,Retrieve facts about registered IPs on PAN-OS devices.,,,
panos_restart,Restart a PAN-OS device.,,,
panos_sag,Manage address group objects on PAN-OS devices.,,,
panos_schedule_object,Manage schedule objects on PAN-OS devices.,,,
panos_security_rule,Manage security rule policy on PAN-OS devices or Panorama management console.,,,
panos_security_rule_facts,Manage security rule policy on PAN-OS devices or Panorama management console.,,,
panos_service_group,Manage service group objects on PAN-OS devices.,,,
panos_service_object,Manage service objects on PAN-OS devices.,,,
panos_snapshot_report,Generates a report by comparing two snapshot made with the M(paloaltonetworks.panos.panos_state_snapshot) module.,,,
panos_snmp_profile,Manages SNMP server profiles.,,,
panos_snmp_v2c_server,Manages SNMP v2c servers,,,
panos_snmp_v3_server,Manages SNMP v3 servers.,,,
panos_software,Manage PAN-OS software versions.,,,
panos_state_snapshot,Takes a snapshot of a state of a Firewall device.,,,
panos_static_route,Manage static routes on PAN-OS devices.,,,
panos_syslog_profile,Manages syslog server profiles.,,,
panos_syslog_server,Manages syslog servers in an syslog server profile.,,,
panos_tag_object,Manage tag objects on PAN-OS devices.,,,
panos_template,Manage Panorama template.,,,
panos_template_stack,Manage Panorama template stack.,,,
panos_template_variable,Manage a template or template stack variable on Panorama.,,,
panos_tunnel,Manage tunnel interfaces on PanOS,,,
panos_type_cmd,"This module allows you to execute arbitrary TYPE commands on PAN-OS.
This module does not provide guards of any sort, so USE AT YOUR OWN RISK.",,,
,,,,
panos_userid,Allow for registration and de-registration of userid,,,
panos_virtual_router,Manage PANOS Virtual Router,,,
panos_virtual_router_facts,Manage PANOS Virtual Router,,,
